brand,name,release_year,launch_price,pixel_rate,texture_rate,fp16,fp32,fp64,memory_size,source_url
AMD,AMD Radeon Instinct MI250X,2021,,0 MPixel/s,"1,496.0 GTexel/s",383.0 TFLOPS (8:1),47.87 TFLOPS,47.87 TFLOPS (1:1),128 GB,https://www.techpowerup.com/gpu-specs/radeon-instinct-mi250x.c3837
AMD,AMD Radeon PRO V620,2021,,281.6 GPixel/s,633.6 GTexel/s,40.55 TFLOPS (2:1),20.28 TFLOPS,"1,267.2 GFLOPS (1:16)",32 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-v620.c3846
AMD,AMD Radeon PRO W6600,2021,649,165.1 GPixel/s,289.0 GTexel/s,18.49 TFLOPS (2:1),9.247 TFLOPS,577.9 GFLOPS (1:16),8 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-w6600.c3818
AMD,AMD Radeon PRO W6800,2021,2249,222.7 GPixel/s,556.8 GTexel/s,35.64 TFLOPS (2:1),17.82 TFLOPS,"1,113.6 GFLOPS (1:16)",32 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-w6800.c3809
AMD,AMD Radeon Pro W6600X,2021,699,158.7 GPixel/s,317.3 GTexel/s,20.31 TFLOPS (2:1),10.15 TFLOPS,634.6 GFLOPS (1:16),8 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-w6600x.c4104
AMD,AMD Radeon Pro W6800X,2021,2799,200.4 GPixel/s,500.9 GTexel/s,32.06 TFLOPS (2:1),16.03 TFLOPS,"1,001.8 GFLOPS (1:16)",32 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-w6800x.c3826
AMD,AMD Radeon Pro W6800X Duo,2021,4999,188.8 GPixel/s,472.1 GTexel/s,30.21 TFLOPS (2:1),15.11 TFLOPS,944.2 GFLOPS (1:16),32 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-w6800x-duo.c3824
AMD,AMD Radeon Pro W6900X,2021,5999,277.9 GPixel/s,694.7 GTexel/s,44.46 TFLOPS (2:1),22.23 TFLOPS,"1,389.4 GFLOPS (1:16)",32 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-w6900x.c3825
AMD,AMD Radeon PRO W6300,2022,,65.28 GPixel/s,97.92 GTexel/s,6.267 TFLOPS (2:1),3.133 TFLOPS,195.8 GFLOPS (1:16),2 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-w6300.c3982
AMD,AMD Radeon PRO W6400,2022,,74.27 GPixel/s,111.4 GTexel/s,7.130 TFLOPS (2:1),3.565 TFLOPS,222.8 GFLOPS (1:16),4 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-w6400.c3873
